,RATING,VERIFIED_PURCHASE,REVIEW_TITLE,REVIEW_TEXT,NUM_NOUNS,NUM_VERBS,NUM_ADJECTIVES,NUM_ADVERBS,REVIEW_LENGTH,SENTIMENT_SCORE,TITLE_LENGTH,AVERAGE_RATING,RATING_DEVIATION,NUM_REVIEWS,READABILITY_FRE,SENTIMENT_CATEGORY_ENCODED,RATING_CATEGORY_ENCODED,COHERENT_ENCODED,AVG_WORD_LENGTH,LABEL_ENCODED
0,4,0,useful,think so product save day case need someth,4,5,1,5,116,0.539,6,4.0,0.0,1,105.66,1,1,1,4.375,0
1,4,1,New era for batteries,lithium batteri new introduc market averag develop cost rel high stallion do not compromis qualiti provid good low costbr there build technic assist act like sensor particular forté batteri keep phone charg work voltag high voltag risk,15,15,12,5,404,0.296,21,4.0,0.0,2,33.92,1,1,1,5.378378378378378,0
2,3,0,doesn't swing very well.,purchas swing babi 6 month pretti grow -pron- loud do not swing well beauti though love color lot set do not think worth money,7,13,4,10,248,0.4059,24,3.0,0.0,1,80.96,1,1,1,4.291666666666667,0
3,4,0,Great computing!,look inexpen desk calcolatur be work ne issu tilt slightli hit key rock littl bit big deal,8,10,4,5,212,0.0,16,4.5,-0.5,2,71.14,0,1,0,4.352941176470588,0
4,4,0,Only use twice a week,use twice week result great tooth whiten solut -pron- result use time week potenc solut techniqu tray keep tooth mouth,14,12,7,4,331,0.6249,21,4.5,-0.5,2,76.56,1,1,1,4.95,0
5,3,0,not sure,-pron- be sure suppo recommend littl research cultur pipe plan give gift -pron-,5,11,2,2,188,0.7717,8,3.0,0.0,1,66.74,1,1,1,5.153846153846154,0
6,4,0,PING PONG TABLE GREAT FOR YOUTHS AND FAMILY,plea ping pong tabl 11 year old 13 year old have blast plu lot famili entertain too plu good kid sit video game day friend togeth believ challeng handl,16,8,3,4,261,0.8126,43,4.0,0.0,1,75.88,1,1,1,4.241379310344827,0
7,4,1,Great vitamin C serum,great vitamin c serum like oil feel sticki week recent bug bite help heal skin faster normal,9,4,6,4,169,0.8885,21,4.0,0.0,1,79.6,1,1,1,4.470588235294118,0
8,4,0,wonderful detergent.,-pron- have tide pod laundri deterg yearsit great deterg use have nice scent leaver cloth smell fresh,7,6,7,0,144,0.8481,20,4.0,0.0,1,88.06,1,1,1,5.0,0
9,1,0,WARNING: do not waste your money on this,everybodi want fall promis rel unheard brand non exist compani look amateur label product be ask trust kind amateur stuff way do not wast money,10,12,8,4,279,0.7906,40,1.0,0.0,1,54.56,1,0,0,4.76,0
10,1,0,Unfortunately they didn't work for me.,unfortun do not work -pron- sick throw time tri,1,5,1,3,104,0.4023,38,1.0,0.0,1,96.18,1,0,0,4.333333333333333,0
11,4,0,She said that it is easy to use,kettl gift daughter say easi use like design -pron- nice neat,4,5,4,1,117,0.8807,31,4.0,0.0,1,85.69,1,1,1,4.636363636363637,0
12,4,0,Works great,love tumbler keep drink warm cold good period time sturdi complement sleek look time especi do not leav fingerprint highli recommend suggest wash lid sure shake dri prevent drip lid tumbler,12,12,9,9,338,0.9042,11,4.0,0.0,1,48.47,1,1,1,5.129032258064516,0
13,4,0,Just OK,give 3 star cheap mild sed effect -pron- pretti useless stressanxietypan attack save money ad zenrx night day differenceasinb00hbgbry4 zenrx dietari supplement reduc symptom anxieti stress depress panic attack boost mood increas relax beat anxieti kava kava 5htp theanin gaba more money guarante,24,8,11,4,457,-0.8591,7,4.0,0.0,1,10.91,0,1,0,5.883720930232558,0
14,4,0,Color Is Accurate,buy 2 brown island hydraul mechan look fail use otherwis like -pron- color accur descript pad much definit chair loung in great barcount kitchen,11,10,6,8,330,0.4767,17,4.0,0.0,2,72.5,1,1,1,5.041666666666667,0
15,4,0,Price is right!,wonder headphon 5 month work great great price sound clear loud soft ear love headphon mention soni,6,6,7,5,191,0.9432,15,4.0,0.0,1,88.06,1,1,1,4.882352941176471,0
16,4,1,"Good design, but a recommendation",video qualiti superb fit fine look like real mirror i believ enhanc thi gripe wish camera side side side leave camera place wast record room start turn driver side happi far,14,15,8,10,394,0.9081,33,3.0,1.0,2,56.93,1,1,1,4.612903225806452,0
17,4,0,good enough,sling shoot go good purpo though prefer handl slim good grip,5,6,4,2,132,0.5267,11,4.0,0.0,1,85.69,1,1,1,4.545454545454546,0
18,4,1,I just wish that there were guides and manuals for this,fair believ great slicer idea there unfortun trick spiral slicer mean manual helpfulbr br -pron- be say neg slicer work take week tri learn use slicer cut differ kind vegetablebr the price fair wish manual box show use slicer properli,18,26,6,13,549,0.91,55,4.0,0.0,1,47.8,1,1,1,4.875,0
19,4,1,and he was satisfied with this,tablet especi help use secur dental adhesivebr i buy stuff father satisfi thi,5,4,3,1,147,0.4019,30,4.0,0.0,1,49.82,1,1,1,5.0,0
20,4,0,best of money value,look decent show photo thank amazon i save cost paint type costli digit print look decent,5,8,4,2,153,0.7506,19,4.0,0.0,1,80.62,1,1,1,4.625,0
21,4,1,It's harder to lose weight the older you get,find old get harder lose weightbut -pron- have get great result take garcinia month breakfast lunch supper do not supper do not tend eat late even find cut appetit -pron- have lose 8 lb month way -pron- have lose long time,14,20,9,4,376,-0.6249,44,4.0,0.0,2,63.7,0,1,0,4.439024390243903,0
22,3,0,So easy to use!!,camera 2 week now pictur great easi use love -pron-,3,6,3,3,101,0.8519,16,4.0,-1.0,3,95.17,1,1,1,4.2,0
23,2,1,Stay Away And Don't Buy It,highli recommend buy product take suggest dosag week feel noth extra energi loss appetit pound lose,8,6,2,2,161,-0.3612,26,2.0,0.0,1,55.24,0,0,1,5.25,0
24,3,0,good supply,actual power suppli good cabl harnesss complet take apart reorient avoid bird nest backward wire tower -pron- like do not test work,9,12,3,3,207,0.4939,11,3.0,0.0,1,57.61,1,1,1,5.0,0
25,4,0,"Did you know? Oregano delivers more antioxidants than blueberries, oranges or apples",person physician recommend buy googlwa7ai with 10 free sampl great stuffbr br i tell enorm benifit oregano power heal herb natur antibiot studi find recent studi significantli better 18 current antibiot treatment mrsa staph infect strong phenol antioxid destroy pathogen bacteria virus yeast super herb rich antioxid phytochem flavonoid phenol acid high herb oxygen radic absorb capac orac impress score 200129 usda rank oregano antioxid capac 3 20 time high herbbr br -pron- 2 bottl oreganol p73 fridg wowww oregano oil good work miracul discomfort dryness throat take coupl drop oil tablespoon water drink -pron- oil heal sooth throat instantli feel great now time feel bodi ach take oil way set free feel great second oil fantast oregano emerg medicin complet elimin digest distress eat find contamin food,58,39,33,22,1414,0.9836,84,4.0,0.0,1,-49.99,1,1,1,5.3203125,0
26,4,0,Products are great,love fact easili read measurementsgreat who eye be not use lol tire tri read number -pron- color cup -pron-,9,11,4,4,230,0.4885,18,4.0,0.0,1,77.57,1,1,1,4.684210526315789,0
27,4,1,One of the better ones,buy product seller plea -pron- green coffe exactli say doe happi purchas finish bottl,5,13,3,1,223,0.0,22,4.5,-0.5,2,65.73,0,1,0,5.142857142857143,0
